Language,Korean,English,ChineseSimplified,ChineseTraditional
quest_num_1032_title_key,월링턴의 두번째 Skill 획득하기\n- 월링턴 Level 20 필요 -,Obtain second skill of Wallington\n- Requires Wallington Level 20 -,获得威灵顿的第二项技能\n-需要威灵顿等级达到20-,獲得威靈頓的第二項技能\n-需要威靈頓等級達到20-
quest_num_1033_title_key,샥크스의 세번째 Skill 획득하기\n- 샥크스 Level 50 필요 -,Obtain third skill of Sharks\n- Requires Sharks Level 50 -,获得鲨克斯的第三项技能\n-需要鲨克斯等级达到50-,獲得鯊克斯的第三項技能\n-需要鯊克斯等級達到50-
quest_num_1037_title_key,우사기의 두번째 Skill 획득하기\n- 우사기 Level 20 필요 -,Obtain second skill of Usagi\n- Requires Usagi Level 20 -,获得兔斯奇的第二技能\n- 兔斯奇 20级要求-,獲得兔斯奇的第二技能\n- 兔斯奇 20級要求-
quest_num_1038_title_key,드래콩의 첫번째 Skill 획득하기\n- 드래콩 Level 10 필요 -,Obtain first skill of Dracong\n- Requires Dracong Level 10 -,获得龙龙空的第一项技能\n-需要龙龙空 10级-,獲得龍龍空的第一項技能\n-需要龍龍空 10級-
quest_num_1040_title_key,샥크스의 네번째 Skill 획득하기\n- 샥크스 Level 100 필요 -,Obtain fourth skill of Sharks\n- Requires Sharks Level 100 -,获得鲨克斯的第四技能\n-鲨克斯等级100.,獲得鯊克斯的第四技能\n-鯊克斯等級100.
quest_num_1042_title_key,월링턴의 세번째 Skill 획득하기\n- 월링턴 Level 50 필요 -,Obtain third skill of Wallington\n- Requires Wallington Level 50 -,获得威灵顿的第三技能\n-需要威灵顿等级达到50-,獲得威靈頓的第三技能\n-需要威靈頓等級達到50-
quest_num_1043_title_key,드래콩의 두번째 Skill 획득하기\n- 드래콩 Level 20 필요 -,Obtain second skill of Dracong\n- Requires Dracong Level 20 -,获得龙龙空的第二种技能\n-需要龙龙空等级达到20-,獲得龍龍空的第二種技能\n-需要龍龍空等級達到20-
quest_num_1044_title_key,우사기의 세번째 Skill 획득하기\n- 우사기 Level 50 필요 -,Obtain third skill of Usagi\n- Requires Usagi Level 50 -,获得兔斯奇的第三项技能\n-需要兔斯奇等级达到50-,獲得兔斯奇的第三項技能\n-需要兔斯奇等級達到50-
quest_num_1045_title_key,월링턴의 네번째 Skill 획득하기\n- 월링턴 Level 100 필요 -,Obtain fourth skill of Wallington\n- Requires Wallington Level 100 -,获得威灵顿的第四技能\n-需要威灵顿等级达到100-,獲得威靈頓的第四技能\n-需要威靈頓等級達到100-
quest_num_1053_title_key,우사기의 네번째 Skill 획득하기\n- 우사기 Level 100 필요 -,Obtain fourth skill of Usagi\n- Requires Usagi Level 100 -,获得兔斯奇的第四技能\n- 兔斯奇达到100级要求-,獲得兔斯奇的第四技能\n- 兔斯奇達到100級要求-
quest_num_1054_title_key,드래콩의 네번째 Skill 획득하기\n- 드래콩 Level 100 필요 -,-,-,-
quest_num_1014_desc_key,탭 데미지가 더 강해집니다.,Tap damage is stronger.,点击的破坏力更强。,點擊的破壞力更強。
quest_num_1021_desc_key,탭 데미지가 더 강해집니다.,Tap damage is stronger.,点击的破坏力更强。,點擊的破壞力更強。
quest_num_1025_desc_key,동료들의 데미지가 증가합니다.,Increases damage done by teammates.,同伴的伤害值增加。,同伴的傷害值增加。
quest_num_1030_desc_key,보물상자가 더 많이 떨어집니다.,More treasure chests falling.,更多宝箱掉落。,更多寶箱掉落。
quest_num_1032_desc_key,크리티컬 데미지가 증가합니다.,Increases critical damage.,暴击伤害增加。,暴擊傷害增加。
quest_num_1033_desc_key,동료들의 데미지가 증가합니다.,Increases damage done by teammates.,同伴的伤害值增加。,同伴的傷害值增加。
quest_num_1037_desc_key,보물상자에서 더 많은 골드가 나옵니다.,More gold comes out of the treasure chest.,宝物箱子中会出来更多的金币,寶物箱子中會出來更多的金幣
quest_num_1038_desc_key,근거리 타입의 피해량이 증가합니다.,Increases damage done by close range type.,近距离伤害增加。,近距離傷害增加。
quest_num_1040_desc_key,탭 데미지가 더 강해집니다.,Tap damage is stronger.,点击的破坏力更强。,點擊的破壞力更強。
quest_num_1042_desc_key,보물상자에서 더 많은 골드가 나옵니다.,More gold comes out of the treasure chest.,宝物箱子中会出来更多的金币,寶物箱子中會出來更多的金幣
quest_num_1043_desc_key,원거리 타입의 피해량이 증가합니다.,Increases damage done by long range type.,远程伤害增加。,遠程傷害增加。
quest_num_1044_desc_key,크리티컬 데미지가 증가합니다.,Increases critical damage.,暴击伤害增加。,暴擊傷害增加。
quest_num_1045_desc_key,탭 데미지가 더 강해집니다.,Tap damage is stronger.,点击的破坏力更强。,點擊的破壞力更強。
quest_num_1053_desc_key,보물상자가 더 많이 떨어집니다.,More treasure chests falling.,更多宝箱掉落。,更多寶箱掉落。
quest_num_1054_desc_key,기계 타입의 피해량이 증가합니다.,-,-,-
buff_idx_5014_name_key,샥크스의 집중,Sharks' concentration,获得鲨克斯的聚焦。,獲得鯊克斯的聚焦。
buff_idx_5015_name_key,월링턴의 저력,Wallington's potential,发挥威灵顿的潜力。,發揮威靈頓的潛力。
buff_idx_5016_name_key,우사기의 격려,Usagi's encouragement,得到兔斯奇的激励。,得到兔斯奇的激勵。
buff_idx_5017_name_key,드래콩의 기합,Dracong's spirit,获得龙龙空的蓄力。,獲得龍龍空的蓄力。
buff_idx_5014_desc_key,!탭! 일반 픽셀 데미지 증가\n{0},!Tap! Increase regular pixel damage\n{0},点击！普通砖块伤害增加\n {0},點擊！普通磚塊傷害增加\n {0}
buff_idx_5015_desc_key,!탭! 보스 픽셀 데미지 증가\n{0},!Tap! Increase boss pixel damage\n{0},点击！boss砖块伤害增加\n {0},點擊！boss磚塊傷害增加\n {0}
buff_idx_5016_desc_key,!탭! 공격력 증가\n{0},!Tap! Increase attack power\n{0},点击！攻击力增加\n {0},點擊！攻擊力增加\n {0}
buff_idx_5017_desc_key,!탭! 크리티컬 데미지 증가\n{0},!Tap! Increase critical damage\n{0},点击！暴击伤害增加\n {0},點擊！暴擊傷害增加\n {0}
treasure_idx_14_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_15_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_16_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_17_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
name_key_treasure_idx_14,샥크스의 집중,Sharks' concentration,获得鲨克斯的聚焦。,獲得鯊克斯的聚焦。
name_key_treasure_idx_15,월링턴의 저력,Wallington's potential,发挥威灵顿的潜力。,發揮威靈頓的潛力。
name_key_treasure_idx_16,우사기의 격려,Usagi's encouragement,得到兔斯奇的激励。,得到兔斯奇的激勵。
name_key_treasure_idx_17,드래콩의 기합,Dracong's spirit,获得龙龙空的蓄力。,獲得龍龍空的蓄力。
quest_num_1055_title_key,드래콩의 세번째 Skill 획득하기\n- 드래콩 Level 50 필요 -,Obtain third skill of Dracong\n- Requires Dracong Level 50 -,获得龙龙空的第三项技能\n-需要龙龙空等级50-,獲得龍龍空的第三項技能\n-需要龍龍空等級50-
quest_num_1055_desc_key,마법 타입의 피해량이 증가합니다.,Increases damage done by magic type.,魔法伤害增加。,魔法傷害增加。
quest_num_1056_title_key,Worker의 Lv.61로 업그레이드,Upgrade to Lv.61 of Worker,worker升级到Lv.61,worker升級到Lv.61
quest_num_1057_title_key,샥크스의 Level 400 달성,Achieved Level 400 of Sharks,鲨克斯达到等级400,鯊克斯達到等級400
quest_num_1058_title_key,월링턴의 Level 400 달성,Achieved Level 400 of Wallington,威灵顿达到400级,威靈頓達到400級
quest_num_1059_title_key,우사기의 Level 400 달성,Achieved Level 400 of Usagi,兔斯奇达到400级,兔斯奇達到400級
quest_num_1060_title_key,드래콩의 Level 400 달성,Achieved Level 400 of Dracong,达到龙龙空达到400级,達到龍龍空達到400級
set_bonus_idx_0_name_key,서부시대,Western-era,西方时代,西方時代
set_bonus_idx_1_name_key,레스토랑,Restaurant,餐厅,餐廳
set_bonus_idx_2_name_key,스페이스,Space,太空,太空
set_bonus_idx_3_name_key,건설자,Builder,建筑师,建築師
set_bonus_idx_4_name_key,판타지,Fantasy,幻想的,幻想的
set_bonus_idx_5_name_key,해적왕,Pirate King,海贼王,海賊王
set_bonus_idx_6_name_key,우주 전사,Space Warrior,太空战士,太空戰士
set_bonus_idx_7_name_key,소방관,Firefighter,消防员,消防員
set_bonus_idx_8_name_key,프로레슬러,Pro Wrestler,职业摔跤手,職業摔跤手
set_bonus_idx_9_name_key,경찰관,Police,警察,員警
costume_idx_99_name_key,Worker,Worker,Worker,Worker
costume_idx_101_name_key,복면강도. 샥크스,Masked robber. Sharks,蒙面强盗.鲨克斯,蒙面強盜.鯊克斯
costume_idx_102_name_key,서부보안관. 샥크스,West Sheriff. Sharks,西部警长.鲨克斯,西部警長.鯊克斯
costume_idx_103_name_key,요리사. 샥크스,Chef. Sharks,厨师.鲨克斯,廚師.鯊克斯
costume_idx_104_name_key,우주인. 샥크스,Astronaut. Sharks,宇航员.鲨克斯,宇航員.鯊克斯
costume_idx_105_name_key,건설자. 샥크스,Builder. Sharks,建筑师.鲨克斯,建築師.鯊克斯
costume_idx_201_name_key,중세 궁수. 우사기,Medieval archer. Usagi,中世纪弓箭手。兔斯奇,中世紀弓箭手。兔斯奇
costume_idx_202_name_key,해적왕. 우사기,Pirate king. Usagi,海盗王.兔斯奇,海盜王.兔斯奇
costume_idx_203_name_key,조리원. 우사기,Cook. Usagi,料理师.兔斯奇,料理師.兔斯奇
costume_idx_204_name_key,메카 토끼. 우사기,Mecha Bunny. Usagi,机器兔.兔斯奇,機器兔.兔斯奇
costume_idx_205_name_key,소방수. 우사기,Fireman. Usagi,消防员.兔斯奇,消防員.兔斯奇
costume_idx_301_name_key,판금 전사. 월링턴,Metal warrior. Wallington,钣金战士。威灵顿,鈑金戰士。威靈頓
costume_idx_302_name_key,챔피언. 월링턴,Champion. Wallington,冠军.威灵顿,冠軍.威靈頓
costume_idx_303_name_key,주방장. 월링턴,Head cook. Wallington,厨师长.威灵顿,廚師長.威靈頓
costume_idx_304_name_key,미스터. 월링턴,Mister. Wallington,先生.威灵顿,先生.威靈頓
costume_idx_305_name_key,건설자. 월링턴,Builder. Wallington,建筑师.威灵顿,建築師.威靈頓
costume_idx_401_name_key,백 마법사. 드래콩,White magician. Dracong,白巫师.龙龙空,白巫師.龍龍空
costume_idx_402_name_key,검은 수염. 드래콩,Black beard. Dracong,黑胡子.龙龙空,黑鬍子.龍龍空
costume_idx_403_name_key,요리사. 드래콩,Cook. Dracong,厨师.龙龙空,廚師.龍龍空
costume_idx_404_name_key,우주인. 드래콩,Astronaut. Dracong,宇航员.龙龙空,宇航員.龍龍空
costume_idx_405_name_key,경찰서장. 드래콩,Police chief. Dracong,警署署长.龙龙空,警署署長.龍龍空
costume_idx_99_desc_key,임시_Worker_설명,-,-,-
costume_idx_101_desc_key,임시_복면강도. 샥크스_설명,-,-,-
costume_idx_102_desc_key,임시_서부보안관. 샥크스_설명,-,-,-
costume_idx_103_desc_key,임시_요리사. 샥크스_설명,-,-,-
costume_idx_104_desc_key,임시_우주인. 샥크스_설명,-,-,-
costume_idx_105_desc_key,임시_건설자. 샥크스_설명,-,-,-
costume_idx_201_desc_key,임시_중세 궁수. 우사기_설명,-,-,-
costume_idx_202_desc_key,임시_해적왕. 우사기_설명,-,-,-
costume_idx_203_desc_key,임시_조리원. 우사기_설명,-,-,-
costume_idx_204_desc_key,임시_메카 토끼. 우사기_설명,-,-,-
costume_idx_205_desc_key,임시_소방수. 우사기_설명,-,-,-
costume_idx_301_desc_key,임시_판금 전사. 월링턴_설명,-,-,-
costume_idx_302_desc_key,임시_챔피언. 월링턴_설명,-,-,-
costume_idx_303_desc_key,임시_주방장. 월링턴_설명,-,-,-
costume_idx_304_desc_key,임시_미스터. 월링턴_설명,-,-,-
costume_idx_305_desc_key,임시_건설자. 월링턴_설명,-,-,-
costume_idx_401_desc_key,임시_백 마법사. 드래콩_설명,-,-,-
costume_idx_402_desc_key,임시_검은 수염. 드래콩_설명,-,-,-
costume_idx_403_desc_key,임시_요리사. 드래콩_설명,-,-,-
costume_idx_404_desc_key,임시_우주인. 드래콩_설명,-,-,-
costume_idx_405_desc_key,임시_경찰서장. 드래콩_설명,-,-,-
buff_idx_10111_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_10211_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_10311_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_10411_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_10511_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_20111_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_20211_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_20311_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_20411_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_20511_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_30111_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_30211_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_30311_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_30411_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_30511_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_40111_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_40211_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_40311_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_40411_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_40511_name_key,장착시 공격력 증가,Increases attack power when installed,装备时增加攻击力,裝備時增加攻擊力
buff_idx_10112_name_key,근접 공격력 증가,Increases close range attack power,近距离攻击力提高,近距離攻擊力提高
buff_idx_10212_name_key,원거리 공격력 증가,Increases long range attack power,增加远程攻击力,增加遠程攻擊力
buff_idx_10312_name_key,기계 공격력 증가,Increases machine attack power,机械攻击力增加,機械攻擊力增加
buff_idx_10412_name_key,원거리 공격력 증가,Increases long range attack power,增加远程攻击力,增加遠程攻擊力
buff_idx_10512_name_key,원거리 공격력 증가,Increases long range attack power,增加远程攻击力,增加遠程攻擊力
buff_idx_20112_name_key,원거리 공격력 증가,Increases long range attack power,增加远程攻击力,增加遠程攻擊力
buff_idx_20212_name_key,근접 공격력 증가,Increases close range attack power,近距离攻击力提高,近距離攻擊力提高
buff_idx_20312_name_key,마법 공격력 증가,Increases magic attack power,魔法攻击力增加,魔法攻擊力增加
buff_idx_20412_name_key,기계 공격력 증가,Increases machine attack power,机械攻击力增加,機械攻擊力增加
buff_idx_20512_name_key,기계 공격력 증가,Increases machine attack power,机械攻击力增加,機械攻擊力增加
buff_idx_30112_name_key,근접 공격력 증가,Increases close range attack power,近距离攻击力提高,近距離攻擊力提高
buff_idx_30212_name_key,근접 공격력 증가,Increases close range attack power,近距离攻击力提高,近距離攻擊力提高
buff_idx_30312_name_key,근접 공격력 증가,Increases close range attack power,近距离攻击力提高,近距離攻擊力提高
buff_idx_30412_name_key,기계 공격력 증가,Increases machine attack power,机械攻击力增加,機械攻擊力增加
buff_idx_30512_name_key,원거리 공격력 증가,Increases long range attack power,增加远程攻击力,增加遠程攻擊力
buff_idx_40112_name_key,마법 공격력 증가,Increases magic attack power,魔法攻击力增加,魔法攻擊力增加
buff_idx_40212_name_key,근접 공격력 증가,Increases close range attack power,近距离攻击力提高,近距離攻擊力提高
buff_idx_40312_name_key,마법 공격력 증가,Increases magic attack power,魔法攻击力增加,魔法攻擊力增加
buff_idx_40412_name_key,마법 공격력 증가,Increases magic attack power,魔法攻击力增加,魔法攻擊力增加
buff_idx_40512_name_key,원거리 공격력 증가,Increases long range attack power,增加远程攻击力,增加遠程攻擊力
buff_idx_10113_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_10213_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_10313_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_10413_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_10513_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_20113_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_20213_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_20313_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_20413_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_20513_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_30113_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_30213_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_30313_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_30413_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_30513_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_40113_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_40213_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_40313_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_40413_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_40513_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_10101_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_10201_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_10301_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_10401_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_10501_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_20101_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_20201_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_20301_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_20401_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_20501_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_30101_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_30201_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_30301_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_30401_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_30501_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_40101_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_40201_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_40301_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_40401_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_40501_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_10202_name_key,바람속성 피해량 증가,Increases wind damage,风属性伤害增加,風屬性傷害增加
buff_idx_10302_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_10402_name_key,물속성 피해량 증가,Increases water damage,水属性伤害增加,水屬性傷害增加
buff_idx_10502_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_20202_name_key,근접 공격력 증가,Increases close range attack power,近距离攻击力提高,近距離攻擊力提高
buff_idx_20402_name_key,기계 공격력 증가,Increases machine attack power,机械攻击力增加,機械攻擊力增加
buff_idx_20502_name_key,기계 공격력 증가,Increases machine attack power,机械攻击力增加,機械攻擊力增加
buff_idx_30102_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_30302_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_30402_name_key,바람속성 피해량 증가,Increases wind damage,风属性伤害增加,風屬性傷害增加
buff_idx_30502_name_key,원거리 공격력 증가,Increases long range attack power,增加远程攻击力,增加遠程攻擊力
buff_idx_40102_name_key,마법 공격력 증가,Increases magic attack power,魔法攻击力增加,魔法攻擊力增加
buff_idx_40202_name_key,근접 공격력 증가,Increases close range attack power,近距离攻击力提高,近距離攻擊力提高
buff_idx_40302_name_key,마법 공격력 증가,Increases magic attack power,魔法攻击力增加,魔法攻擊力增加
buff_idx_40402_name_key,물속성 피해량 증가,Increases water damage,水属性伤害增加,水屬性傷害增加
buff_idx_40502_name_key,원거리 공격력 증가,Increases long range attack power,增加远程攻击力,增加遠程攻擊力
buff_idx_10503_name_key,무기 용병 업그레이드 할인,Armed soldier upgrade discount,武器佣兵升级的折扣,武器傭兵升級的折扣
buff_idx_20203_name_key,보물상자 확률 증가,Increase treasure chest probability,宝藏宝箱机率增加,寶藏寶箱機率增加
buff_idx_20403_name_key,크리티컬 확률 증가,Increases critical chances,暴击率增加,暴擊率增加
buff_idx_30403_name_key,모든 속성 피해량 증가,Increases damage done by all elements,所有属性伤害值增加,所有屬性傷害值增加
buff_idx_40503_name_key,재장전단계 증가,Increase reloading phase,装弹等级增加,裝彈等級增加
buff_idx_10121_name_key,! 서부시대 시너지 안내 !\n근접 무기 장착 시. 최종 데미지 1.5배로 증가\n- 발동 조건. 서부시대 무기 장착! -,! Western-era Synergy Guide !\n With close range weapons. Increases final damage by 1.5x\n- Triggering condition. Armed with Western-era weaponry!,！西方时代的协同效果说明！\n装备近距离武器时.最终伤害提高1.5倍\n-触发条件：装备西方时代的武器！--,！西方時代的協同效果說明！\n裝備近距離武器時.最終傷害提高1.5倍\n-觸發條件：裝備西方時代的武器！--
buff_idx_10221_name_key,! 서부시대 시너지 안내 !\n원거리 무기 장착 시. 최종 데미지 1.5배로 증가\n- 발동 조건. 서부시대 무기 장착! -,! Western-era Synergy Guide !\n With long range weapons. Increases final damage by 1.5x\n- Triggering condition. Armed with Western-era weaponry!,！西方时代的协同效果说明！\n配备远程武器时.最终伤害提高1.5倍\n-触发条件：装备西方时代的武器！--,！西方時代的協同效果說明！\n配備遠程武器時.最終傷害提高1.5倍\n-觸發條件：裝備西方時代的武器！--
buff_idx_10321_name_key,! 레스토랑 시너지 안내 !\n기계 무기 장착 시. 최종 데미지 1.5배로 증가\n- 발동 조건. 레스토랑 무기 장착! -,! Restaurant Synergy Guide !\n With machine weapons. Increases final damage by 1.5x\n- Triggering condition. Armed with restaurant weaponry!,！餐厅协同效果指南！\n装备机械武器时.最终伤害提高1.5倍\n-触发条件： 装备餐厅武器！--,！餐廳協同效果指南！\n裝備機械武器時.最終傷害提高1.5倍\n-觸發條件： 裝備餐廳武器！--
buff_idx_10421_name_key,! 스페이스 시너지 안내 !\n원거리 무기 장착 시. 최종 데미지 1.5배로 증가\n- 발동 조건. 스페이스 무기 장착! -,! Space Synergy Guide !\n With long range weapons. Increases final damage by 1.5x\n- Triggering condition. Armed with space weaponry!,！太空协同效果说明！\n配备远程武器时.最终伤害提高1.5倍\n-触发条件：装备太空武器！--,！太空協同效果說明！\n配備遠程武器時.最終傷害提高1.5倍\n-觸發條件：裝備太空武器！--
buff_idx_10521_name_key,! 건설자 시너지 안내 !\n원거리 무기 장착 시. 최종 데미지 1.5배로 증가\n- 발동 조건. 건설자 무기 장착! -,! Builder Synergy Guide !\n With long range weapons. Increases final damage by 1.5x\n- Triggering condition. Armed with builder weaponry!,！建筑师的协同指南！\n配备远程武器时.最终伤害提高1.5倍\n-触发条件：装备建筑师武器！--,！建築師的協同指南！\n配備遠程武器時.最終傷害提高1.5倍\n-觸發條件：裝備建築師武器！--
buff_idx_20121_name_key,! 판타지 시너지 안내 !\n원거리 무기 장착 시. 최종 데미지 1.5배로 증가\n- 발동 조건. 판타지 무기 장착! -,! Fantasy Synergy Guide !\n With long range weapons. Increases final damage by 1.5x\n- Triggering condition. Armed with fantasy weaponry!,！幻想的协同效果指南！\n配备远程武器时.最终伤害提高1.5倍\n-触发条件。配备幻想武器！--,！幻想的協同效果指南！\n配備遠程武器時.最終傷害提高1.5倍\n-觸發條件。配備幻想武器！--
buff_idx_20221_name_key,! 해적왕 시너지 안내 !\n근접 무기 장착 시. 최종 데미지 1.5배로 증가\n- 발동 조건. 해적왕 무기 장착! -,! Pirate King Synergy Guide !\n With close range weapons. Increases final damage by 1.5x\n- Triggering condition. Armed with pirate king weaponry!,！海贼王的协同指南！\n装备近战武器时.最终伤害提高1.5倍\n-触发条件：装备海贼王武器！--,！海賊王的協同指南！\n裝備近戰武器時.最終傷害提高1.5倍\n-觸發條件：裝備海賊王武器！--
buff_idx_20321_name_key,! 레스토랑 시너지 안내 !\n마법 무기 장착 시. 최종 데미지 1.5배로 증가\n- 발동 조건. 레스토랑 무기 장착! -,! Restaurant Synergy Guide !\n With magic weapons. Increases final damage by 1.5x\n- Triggering condition. Armed with restaurant weaponry!,！餐厅协同效果指南！\n装备魔法武器时.最终伤害提高1.5倍\n-触发条件：装备餐厅武器！--,！餐廳協同效果指南！\n裝備魔法武器時.最終傷害提高1.5倍\n-觸發條件：裝備餐廳武器！--
buff_idx_20421_name_key,! 우주 전사 시너지 안내 !\n기계 무기 장착 시. 최종 데미지 1.5배로 증가\n- 발동 조건. 우주 전사 무기 장착! -,! Space Warrior Synergy Guide !\n With machine weapons. Increases final damage by 1.5x\n- Triggering condition. Armed with space warrior weaponry!,！太空战士协同作战指南！\n装备机械武器时。最终伤害提高1.5倍\n-触发条件：装备太空战士武器！--,！太空戰士協同作戰指南！\n裝備機械武器時。最終傷害提高1.5倍\n-觸發條件：裝備太空戰士武器！--
buff_idx_20521_name_key,! 소방관 시너지 안내 !\n기계 무기 장착 시. 최종 데미지 1.5배로 증가\n- 발동 조건. 소방관 무기 장착! -,! Firefighter Synergy Guide !\n With magic weapons. Increases final damage by 1.5x\n- Triggering condition. Armed with firefighter weaponry!,！消防员的协同效果指南！\n装备机械武器时。最终伤害提高1.5倍\n-触发条件：装备消防员武器！--,！消防員的協同效果指南！\n裝備機械武器時。最終傷害提高1.5倍\n-觸發條件：裝備消防員武器！--
